ID,Nombre,Cédula,Rol,Contraseña,Departamento,Municipio,Zona,Puesto,Mesa,Ubicación Completa,Activo,Presencia Verificada,Último Acceso
1718,QUINDIO,Sin cédula,coordinador_departamental,test123,QUINDIO,,,,,QUINDIO,Sí,No,Nunca
1719,ARMENIA,Sin cédula,coordinador_municipal,test123,QUINDIO,ARMENIA,,,,QUINDIO - ARMENIA,Sí,No,Nunca
1720,BUENAVISTA,Sin cédula,coordinador_municipal,test123,QUINDIO,BUENAVISTA,,,,QUINDIO - BUENAVISTA,Sí,No,Nunca
1721,CALARCA,Sin cédula,coordinador_municipal,test123,QUINDIO,CALARCA,,,,QUINDIO - CALARCA,Sí,No,Nunca
1722,CIRCASIA,Sin cédula,coordinador_municipal,test123,QUINDIO,CIRCASIA,,,,QUINDIO - CIRCASIA,Sí,No,Nunca
1723,CORDOBA,Sin cédula,coordinador_municipal,test123,QUINDIO,CORDOBA,,,,QUINDIO - CORDOBA,Sí,No,Nunca
1724,FILANDIA,Sin cédula,coordinador_municipal,test123,QUINDIO,FILANDIA,,,,QUINDIO - FILANDIA,Sí,No,Nunca
1725,GENOVA,Sin cédula,coordinador_municipal,test123,QUINDIO,GENOVA,,,,QUINDIO - GENOVA,Sí,No,Nunca
1726,LA_TEBAIDA,Sin cédula,coordinador_municipal,test123,QUINDIO,LA TEBAIDA,,,,QUINDIO - LA TEBAIDA,Sí,No,Nunca
1727,MONTENEGRO,Sin cédula,coordinador_municipal,test123,QUINDIO,MONTENEGRO,,,,QUINDIO - MONTENEGRO,Sí,No,Nunca
1728,PIJAO,Sin cédula,coordinador_municipal,test123,QUINDIO,PIJAO,,,,QUINDIO - PIJAO,Sí,No,Nunca
1729,QUIMBAYA,Sin cédula,coordinador_municipal,test123,QUINDIO,QUIMBAYA,,,,QUINDIO - QUIMBAYA,Sí,No,Nunca
1730,SALENTO,Sin cédula,coordinador_municipal,test123,QUINDIO,SALENTO,,,,QUINDIO - SALENTO,Sí,No,Nunca
1731,ARMENIA_P01,Sin cédula,coordinador_puesto,test123,QUINDIO,ARMENIA,Zona 01,IE TERESITA MONTES SD LUIS C. GALAN S.,,QUINDIO - ARMENIA - IE TERESITA MONTES SD LUIS C. GALAN S.,Sí,No,Nunca
1736,ARMENIA_P01,Sin cédula,coordinador_puesto,test123,QUINDIO,ARMENIA,Zona 02,IE RUFINO SUR SEDE MADRE MARCE,,QUINDIO - ARMENIA - IE RUFINO SUR SEDE MADRE MARCE,Sí,No,Nunca
1740,ARMENIA_P01,Sin cédula,coordinador_puesto,test123,QUINDIO,ARMENIA,Zona 03,IE ZULDEMAYDA,,QUINDIO - ARMENIA - IE ZULDEMAYDA,Sí,No,Nunca
